role,email,password,station_id,tank_id,product_id,new_customer_email,new_invoice_number,random_volume
admin,admin_0_2LWfM@test.com,password,019c2dcd-aa0a-715f-bf6f-22db77a7b9e0,019c2dcd-aa42-73e2-a02a-828553b8ea4c,019c2dcd-aa20-7297-b4dc-325f9bf96460,cust_0_H92vh@example.com,INV-IR1GPKWD,1292
admin,admin_1_WqDBI@test.com,password,019c2dcd-ad16-70e4-a662-77d6cd1f8895,019c2dcd-ad42-7286-8a92-26d97f0e4e36,019c2dcd-ad2c-71d8-85cf-df1632a74ce8,cust_1_r3fnc@example.com,INV-GH3FLBXZ,2397
manager,manager_2_Eu55h@test.com,password,019c2dcd-aec8-7148-84c1-246d99552d8b,019c2dcd-aef4-7003-a53b-9f8d063afd93,019c2dcd-aede-712e-89d2-82661783a4a0,cust_2_g8DWz@example.com,INV-BFZISYOU,2566
manager,manager_3_tMB45@test.com,password,019c2dcd-b092-729f-8159-99d5da3a9d31,019c2dcd-b0be-73cf-be51-ea4cbe0f502a,019c2dcd-b0a8-732c-a781-bdf2a3104b5e,cust_3_X6zY6@example.com,INV-H1QBWIXC,771
admin,admin_4_CZxXu@test.com,password,019c2dcd-b266-716d-8675-84da69f6eae7,019c2dcd-b292-7264-ae64-4fab17ce6443,019c2dcd-b27b-71fb-ad5d-d13b4f507307,cust_4_OtTP7@example.com,INV-ARGDLXRV,2805
manager,manager_5_ZIsXK@test.com,password,019c2dcd-b43a-730f-8564-4114962c23e2,019c2dcd-b466-7018-8910-5c374a517c03,019c2dcd-b450-7207-b59e-1c2b29058bcf,cust_5_9knuY@example.com,INV-CFECDOZN,1868
admin,admin_6_HKSUp@test.com,password,019c2dcd-b602-727e-a302-58be2bd848e1,019c2dcd-b693-737c-b59c-7ce7af54e59c,019c2dcd-b618-70d8-9cc6-36a78b7d2980,cust_6_v5K1T@example.com,INV-VKOORO7M,4192
manager,manager_7_k0O3l@test.com,password,019c2dcd-b82e-7261-8a21-757fc944da95,019c2dcd-b85b-7186-b707-b317b9f59b7b,019c2dcd-b845-718f-9958-637a987a5e1b,cust_7_5tvxM@example.com,INV-XXAJDWVR,4304
manager,manager_8_uZLSs@test.com,password,019c2dcd-ba03-7350-b669-d400cd5c2428,019c2dcd-ba2e-7250-bbbd-5c7d2443bbbc,019c2dcd-ba18-727a-8e8c-8c45c06177f3,cust_8_Rw7dH@example.com,INV-OJUFSAPH,1166
manager,manager_9_NX7sA@test.com,password,019c2dcd-bbd7-71b0-9a29-1d8484857757,019c2dcd-bc03-71cc-aa87-00ac45ebbb5a,019c2dcd-bbed-7147-bbdf-5175c432747e,cust_9_KpLOk@example.com,INV-D0IEROVV,2903
manager,manager_10_rI4t4@test.com,password,019c2dcd-bdc2-7299-b4da-34ce7da46c51,019c2dcd-bded-70ff-878f-7d970e11ba79,019c2dcd-bdd7-7029-9490-bcaaee43570c,cust_10_hLdFq@example.com,INV-GPXYBAHH,1258
manager,manager_11_Gbt9c@test.com,password,019c2dcd-bf95-729a-b879-41aeadf6cb39,019c2dcd-bfc1-710c-a361-4fd822cf4c96,019c2dcd-bfab-73d4-8e0e-b2a47b1a58d1,cust_11_A078W@example.com,INV-IT4JTDI2,1258
admin,admin_12_tDrti@test.com,password,019c2dcd-c169-7215-acdb-e6f69e6a7ff1,019c2dcd-c195-7143-b80a-7c67235a1636,019c2dcd-c17f-718f-a871-4a6e3f5d8065,cust_12_8ClOn@example.com,INV-12TF2HXS,3967
admin,admin_13_jV4dp@test.com,password,019c2dcd-c33c-7082-a792-fa384d0d36ce,019c2dcd-c36a-73d1-b0e8-65a77fe65bcd,019c2dcd-c354-71b3-97a8-3824cd3ca2e6,cust_13_fN3v0@example.com,INV-BXO2VSRM,4357
admin,admin_14_Ly5le@test.com,password,019c2dcd-c511-7124-8c2f-3d49148e3bae,019c2dcd-c53d-7150-b296-c3e4584699ce,019c2dcd-c527-7023-b085-4d69ce328528,cust_14_7YTA3@example.com,INV-YGBPUOSN,2823
admin,admin_15_LrPgy@test.com,password,019c2dcd-c6cf-70ff-87d3-9aed2f31f0c4,019c2dcd-c6fb-7056-b3ea-beb2ecc84e82,019c2dcd-c6e6-7119-ad4e-d5ac2a776e35,cust_15_hA9vs@example.com,INV-YFYZEVUV,2757
admin,admin_16_pkv9I@test.com,password,019c2dcd-c897-701d-ab55-84abc4fc56fa,019c2dcd-c8c4-732d-bdce-96354c2d26c3,019c2dcd-c8ad-735b-8c73-13c39d52727c,cust_16_I2I0h@example.com,INV-68TUQ4WU,2111
admin,admin_17_TYhX3@test.com,password,019c2dcd-ca6c-70a4-96e0-2f678b29bb52,019c2dcd-ca97-73ba-9b3f-0786a4593bc4,019c2dcd-ca81-7124-945f-7eedca19ce92,cust_17_gXc0e@example.com,INV-DVTFWXOQ,4630
admin,admin_18_xweuk@test.com,password,019c2dcd-cc34-7237-8e0e-78bbce68701e,019c2dcd-cc60-71df-a085-349c43a11ad6,019c2dcd-cc4a-7251-971d-f1536fc3bbc4,cust_18_JF9RA@example.com,INV-X6LUDF4C,1180
manager,manager_19_VshFw@test.com,password,019c2dcd-ce07-71a5-a4a3-601d2dc8c233,019c2dcd-ce34-719c-9145-039e848867a5,019c2dcd-ce1d-712b-a5ee-eafd82514518,cust_19_wprt3@example.com,INV-M18EYL2Z,2325
admin,admin_20_0SvPo@test.com,password,019c2dcd-d058-7228-b4f5-1e3de2274dde,019c2dcd-d084-7075-90e2-eff365f353f8,019c2dcd-d06e-7200-9964-90948004b9c7,cust_20_Ea0lJ@example.com,INV-9RU4R2R1,2768
admin,admin_21_HmAkp@test.com,password,019c2dcd-d223-7190-b381-84fb7aa872c3,019c2dcd-d250-728a-a71e-56420494f680,019c2dcd-d239-7338-b13e-4f0e0227d99f,cust_21_Vu6FZ@example.com,INV-EXU6Y9MQ,2252
admin,admin_22_Fm8Uu@test.com,password,019c2dcd-d3e3-736c-bbbf-60590d3b909f,019c2dcd-d40f-70c9-b866-09c1759ed983,019c2dcd-d3f8-70dc-8da8-75cbb5e80740,cust_22_Yulgy@example.com,INV-77WXZWQB,3853
admin,admin_23_gLHk3@test.com,password,019c2dcd-d5b7-7137-8f72-3a9569046abe,019c2dcd-d5e3-73ad-b70c-b94cbe65d4dd,019c2dcd-d5cc-7353-9907-82b1413cfacc,cust_23_IQwdc@example.com,INV-MJQXKPBV,1371
manager,manager_24_obzxN@test.com,password,019c2dcd-d77f-731b-b6ab-428be5a09d7c,019c2dcd-d7ac-7278-9ccb-a0d74d00d486,019c2dcd-d795-7036-a033-780a1402c356,cust_24_6wNk9@example.com,INV-AFEBGPF5,4022
manager,manager_25_b7shi@test.com,password,019c2dcd-d95f-7349-862c-58fc53b0b2cb,019c2dcd-d9a2-7261-92f5-19bb257a2989,019c2dcd-d980-720a-944f-c3fe1e582671,cust_25_kDYra@example.com,INV-VMZ9QMJI,3121
admin,admin_26_IlqmQ@test.com,password,019c2dcd-db26-7127-84e5-2c795cc35219,019c2dcd-db53-718e-9a15-ef70231b63fd,019c2dcd-db3d-72b9-b8cf-41c3c3866cef,cust_26_fcStm@example.com,INV-X4EEW3ES,2521
admin,admin_27_h5mva@test.com,password,019c2dcd-dcf0-72bb-b0f5-36c064ca4ec4,019c2dcd-dd1b-73ea-8f72-a1539ab4b720,019c2dcd-dd05-73a8-9ef6-60d0f2d23ac2,cust_27_k1gOE@example.com,INV-KPOL3ULW,2137
admin,admin_28_LOZf6@test.com,password,019c2dcd-dec3-710e-b170-72210586ec69,019c2dcd-deef-711d-b0e2-d94366051c7c,019c2dcd-ded8-73df-bab0-241ab406fb17,cust_28_2FbXf@example.com,INV-RMOZCBWA,3332
admin,admin_29_60QH2@test.com,password,019c2dcd-e096-7390-b974-a2294e6b504d,019c2dcd-e0c4-735c-9c93-357fd69f87d0,019c2dcd-e0ae-73f8-a153-e3f3d265f62f,cust_29_puvQL@example.com,INV-VX5FLZTP,1028
manager,manager_30_HSo7F@test.com,password,019c2dcd-e260-70c0-af33-4e5138ad47f3,019c2dcd-e28e-7095-9230-677acc476cc2,019c2dcd-e277-7197-b726-3be72ce3f2f0,cust_30_fkm16@example.com,INV-IINKFKIX,2088
admin,admin_31_xNnHi@test.com,password,019c2dcd-e3fe-739c-b52f-a77c6b70ea0f,019c2dcd-e42b-703e-a2ca-525f8b3f3f30,019c2dcd-e414-7296-9271-adcbf38f76e7,cust_31_FnXK6@example.com,INV-YX71EBGO,3654
manager,manager_32_gcGUD@test.com,password,019c2dcd-e600-700a-8555-bebc3a6a35b8,019c2dcd-e62d-7299-8a58-0085b23d80e2,019c2dcd-e616-71ee-97d5-5d8e2811ff28,cust_32_ChJBJ@example.com,INV-J9MVMV7H,4727
admin,admin_33_IaIoc@test.com,password,019c2dcd-e7b4-70a6-9291-2adcc89dc186,019c2dcd-e7df-72bd-9ce3-fe9c5b07b5f1,019c2dcd-e7c9-72eb-96b6-3e761724befe,cust_33_XKGeW@example.com,INV-NIBSZEXD,2055
manager,manager_34_WkKkR@test.com,password,019c2dcd-e987-7048-854b-270a8503a922,019c2dcd-e9bf-71bf-9d72-f16e3e4c928d,019c2dcd-e99d-739f-a5d6-3ea1d884ca28,cust_34_jrViZ@example.com,INV-GG1HNFP5,4587
admin,admin_35_CTmT3@test.com,password,019c2dcd-eb3f-7183-af58-5fd2a192e800,019c2dcd-eb6d-736d-b4b2-eb85bda1ad01,019c2dcd-eb55-739c-9f2e-ce045e96ba92,cust_35_sAWu7@example.com,INV-5DS7XBWR,2731
manager,manager_36_nrCFj@test.com,password,019c2dcd-ece7-71b3-b18d-bb31a4ab5617,019c2dcd-ed14-7110-bcf2-ba8c7b08e0ec,019c2dcd-ecfe-72ac-9fba-a6ae1238a8b1,cust_36_UrDSN@example.com,INV-C2R4FCBJ,2035
admin,admin_37_Cw9pH@test.com,password,019c2dcd-eedf-713b-9ed5-52c636d542fa,019c2dcd-ef36-73e2-b0ad-b1ef298fb09e,019c2dcd-ef0b-7266-9178-ac0be99b6062,cust_37_4OYfI@example.com,INV-I8QLPM4G,3924
admin,admin_38_eX0Sg@test.com,password,019c2dcd-f0c6-72e5-a96f-924cf2ad33aa,019c2dcd-f0f3-70f2-8e93-613777a34ab9,019c2dcd-f0dc-72f4-98be-0f228d9962ba,cust_38_RUCQh@example.com,INV-NXILQUT9,559
admin,admin_39_Fi6HZ@test.com,password,019c2dcd-f272-7003-8b7e-2a712188315f,019c2dcd-f29f-7288-b2ba-83dcee035126,019c2dcd-f288-707d-befd-414663b89002,cust_39_Gqd65@example.com,INV-VLYUQEOT,2472
manager,manager_40_yl5ex@test.com,password,019c2dcd-f43b-7344-bb83-43c55b83edef,019c2dcd-f468-70a4-a492-43f11206eb13,019c2dcd-f451-725d-ad16-c7bb0e0661e8,cust_40_vyNyG@example.com,INV-FOODBH8B,1006
manager,manager_41_Oc9An@test.com,password,019c2dcd-f61e-7139-99ab-1c5cd8364a03,019c2dcd-f64a-71be-8161-ed4355fa4061,019c2dcd-f635-722c-b624-338f95e964b3,cust_41_1AqLi@example.com,INV-KAYOSAQN,4974
admin,admin_42_2Jdsk@test.com,password,019c2dcd-f7d0-7194-a8c0-3e8d4170d4b3,019c2dcd-f7fe-737e-bdf0-22d0ebb1addf,019c2dcd-f7e7-7374-8b91-9d1ee2591f4a,cust_42_Y8a15@example.com,INV-YG45RIRA,598
manager,manager_43_RdGJ4@test.com,password,019c2dcd-f9af-710c-979c-ac1319ef653b,019c2dcd-f9fe-73da-b829-4420088db0cd,019c2dcd-f9e7-733d-8774-7c3368796e5b,cust_43_8JbE2@example.com,INV-6U73BW6P,4709
admin,admin_44_nof3Y@test.com,password,019c2dcd-fba8-7082-a192-6ee1f7ee3fdb,019c2dcd-fbe0-7222-b738-9c88edbafcce,019c2dcd-fbc9-7011-be02-6d259c6aa3cd,cust_44_d4F14@example.com,INV-TLOAZ8DZ,3625
